2022-12-22 08:59:17,285	nyarumul	INFO	[2.2952630519866943, 2.652669906616211, 6.228577136993408, 21.532577514648438, 0.978451132774353, 1.2680788040161133, 7200, 0.00019653023216003985]
2022-12-22 08:59:48,279	nyarumul	INFO	====> Epoch: 139
2022-12-22 09:01:03,181	nyarumul	INFO	====> Epoch: 140
2022-12-22 09:02:16,421	nyarumul	INFO	====> Epoch: 141
2022-12-22 09:03:29,483	nyarumul	INFO	====> Epoch: 142
2022-12-22 09:04:04,926	nyarumul	INFO	Train Epoch: 143 [31%]
2022-12-22 09:04:04,926	nyarumul	INFO	[2.3284337520599365, 2.3735342025756836, 6.483116149902344, 21.52447509765625, 0.9701563715934753, 1.0637047290802002, 7400, 0.0001964319854671337]
2022-12-22 09:04:44,645	nyarumul	INFO	====> Epoch: 143
2022-12-22 09:05:58,444	nyarumul	INFO	====> Epoch: 144
2022-12-22 09:07:12,692	nyarumul	INFO	====> Epoch: 145
2022-12-22 09:08:29,476	nyarumul	INFO	====> Epoch: 146
2022-12-22 09:08:57,425	nyarumul	INFO	Train Epoch: 147 [15%]
2022-12-22 09:08:57,425	nyarumul	INFO	[2.377873420715332, 2.6943986415863037, 5.430906295776367, 21.09943389892578, 0.9676008224487305, 0.7898125648498535, 7600, 0.00019633378788836418]
2022-12-22 09:09:44,399	nyarumul	INFO	====> Epoch: 147
2022-12-22 09:10:58,182	nyarumul	INFO	====> Epoch: 148
2022-12-22 09:12:12,723	nyarumul	INFO	====> Epoch: 149
2022-12-22 09:13:27,217	nyarumul	INFO	====> Epoch: 150
2022-12-22 09:13:46,648	nyarumul	INFO	Train Epoch: 151 [0%]
2022-12-22 09:13:46,649	nyarumul	INFO	[2.425617218017578, 2.4827001094818115, 6.0699238777160645, 21.835975646972656, 0.9738023281097412, 0.8148255944252014, 7800, 0.00019623563939917877]
2022-12-22 09:14:42,167	nyarumul	INFO	====> Epoch: 151
2022-12-22 09:15:55,388	nyarumul	INFO	====> Epoch: 152
2022-12-22 09:17:11,577	nyarumul	INFO	====> Epoch: 153
